fecha,cantidad
23/07/2024,0
23/07/2024,20
23/07/2024,0
23/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,159
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,0
25/07/2024,159
25/07/2024,0
26/07/2024,0
26/07/2024,18
27/07/2024,0
27/07/2024,18
27/07/2024,0
27/07/2024,2403
27/07/2024,0
29/07/2024,0
29/07/2024,0
29/07/2024,100
29/07/2024,0
30/07/2024,10
30/07/2024,0
30/07/2024,0
